gender,gender_binary,age,weight(kg),height(m),BMI,BMR,calories_to_maintain_weight,activity_level,ideal_weight
M,1,15,50.12806819,1.623081145,19.02832249,1462.295,1754.754,1.2,57.95663287
F,0,15,51.15251256,1.61321309,19.65547286,1349.81,1619.772,1.2,57.25404242
M,1,15,51.46770668,1.609672857,19.86367384,1473.944,2210.916,1.5,57.00302754
F,0,15,52.2270191,1.613258362,20.06722819,1360.133,1768.1729,1.3,57.25725594
M,1,15,51.80286804,1.612072254,19.93355681,1479.735,1775.682,1.2,57.17309295
F,0,15,52.43350879,1.617544204,20.03994871,1362.844,2044.266,1.5,57.56188354
M,1,15,50.97829813,1.589168625,20.18577223,1456.987,2185.4805,1.5,55.56005221
M,1,15,53.21702086,1.595743914,20.89893548,1490.945,2236.4175,1.5,56.02077006
M,1,15,51.28444647,1.61206864,19.73415855,1472.631,2797.9989,1.9,57.1728366
M,1,15,50.42120753,1.607787163,19.50545693,1458.664,2187.996,1.5,56.86955035
M,1,15,54.22178268,1.625318992,20.52563358,1519.498,2887.0462,1.9,58.11656017
F,0,15,52.89040812,1.588613752,20.95753898,1362.312,2043.468,1.5,55.52126037
M,1,15,53.11925492,1.590289525,21.00388242,1486.879,2825.0701,1.9,55.63845701
F,0,15,51.66106417,1.60739166,19.99493177,1353.703,2030.5545,1.5,56.84157487
F,0,15,51.20018423,1.594241176,20.14482412,1347.043,2020.5645,1.5,55.9153084
F,0,15,47.63608087,1.623138592,18.08109867,1317.74,1713.062,1.3,57.96073555
M,1,15,53.51571471,1.594573485,21.04709946,1494.452,1793.3424,1.2,55.93862118
F,0,15,53.31076067,1.618318622,20.35573631,1371.397,2605.6543,1.9,57.61701357
M,1,15,47.87160702,1.602406113,18.64373067,1421.044,2415.7748,1.7,56.48951772
M,1,15,52.14630379,1.607715947,20.17459808,1482.262,2223.393,1.5,56.86451246
F,0,15,51.45577039,1.608170083,19.89619952,1351.864,2027.796,1.5,56.89664235
F,0,15,51.03381362,1.58898951,20.21231059,1344.553,2554.6507,1.9,55.54752858
M,1,15,53.85533537,1.611495417,20.73817739,1507.566,2864.3754,1.9,57.13218454
F,0,15,48.14735858,1.597416503,18.86844597,1318.275,2241.0675,1.7,56.13826865
F,0,15,47.69122588,1.605337659,18.50570771,1315.243,1972.8645,1.5,56.69639799
M,1,15,51.18531167,1.613231704,19.6676221,1471.855,2796.5245,1.9,57.25536368
F,0,15,51.68699144,1.604418798,20.07917063,1353.446,1624.1352,1.2,56.63151295
M,1,15,54.08610639,1.617310512,20.67754141,1513.635,2573.1795,1.7,57.54525243
M,1,15,53.63172647,1.601912334,20.89990379,1499.711,2849.4509,1.9,56.45470877
M,1,15,51.5305764,1.620785359,19.6161598,1480.362,1776.4344,1.2,57.79279396
F,0,15,50.87651206,1.620142543,19.38254842,1348.339,2561.8441,1.9,57.74696091
F,0,15,49.58517041,1.612545455,19.06899825,1334.65,1601.58,1.2,57.20666258
M,1,15,50.77259381,1.593616391,19.99225464,1456.393,2767.1467,1.9,55.87149044
F,0,15,47.75258158,1.598970201,18.67738688,1314.75,1577.7,1.2,56.24752548
M,1,15,50.03675594,1.611728701,19.2621724,1455.368,2765.1992,1.9,57.14872692
F,0,15,53.88780273,1.589495211,21.32907533,1372.037,1646.4444,1.2,55.58289057
M,1,15,49.06097052,1.591387422,19.37243859,1431.829,2434.1093,1.7,55.71530639
F,0,15,50.57736579,1.618843934,19.29950817,1345.246,2017.869,1.5,57.65442502
F,0,15,48.17252458,1.613097235,18.51306446,1321.183,1585.4196,1.2,57.24581917
M,1,15,47.76607632,1.620171229,18.19691375,1428.481,2428.4177,1.7,57.74900585
F,0,15,53.5961683,1.587618607,21.26382461,1368.918,1642.7016,1.2,55.45172251
M,1,15,48.97504983,1.611864495,18.850281,1440.89,2449.513,1.7,57.15835731
M,1,15,49.59557639,1.61515017,19.01153253,1451.034,2756.9646,1.9,57.39162158
M,1,15,52.02677001,1.589506384,20.5921793,1471.52,2795.888,1.9,55.58367199
F,0,15,52.74189338,1.613682331,20.2544115,1365.148,2593.7812,1.9,57.28735464
F,0,15,48.446059,1.621070656,18.4354849,1325.164,1722.7132,1.3,57.81314158
F,0,15,52.53811765,1.605753389,20.37590063,1361.844,1770.3972,1.3,56.72576682
F,0,15,48.8977257,1.602874239,19.03223369,1326.407,1989.6105,1.5,56.52252817
F,0,15,49.25399975,1.620614913,18.7534788,1332.843,1599.4116,1.2,57.78063932
M,1,15,51.7532166,1.607236482,20.03446658,1476.637,2805.6103,1.9,56.8306004
F,0,15,52.72887585,1.608696907,20.37511455,1364.176,2591.9344,1.9,56.93392625
M,1,15,50.24145062,1.59675488,19.70541864,1450.685,2756.3015,1.9,56.09177523
F,0,15,47.95744429,1.613296409,18.42585701,1319.152,2242.5584,1.7,57.25995667
F,0,15,54.110826,1.59867423,21.17211356,1375.739,2613.9041,1.9,56.22670446
M,1,15,48.61680618,1.605260834,18.86666794,1432.681,2435.5577,1.7,56.69097159
M,1,15,53.09482249,1.617997043,20.28134374,1500.398,1950.5174,1.3,57.59411749
F,0,15,51.30382518,1.598421243,20.08016428,1348.748,2562.6212,1.9,56.20891034
M,1,15,48.07677518,1.598251416,18.82110568,1421.778,1848.3114,1.3,56.19696695
M,1,15,51.99830709,1.625107524,19.6890609,1488.931,2233.3965,1.5,58.10143822
M,1,15,48.08102876,1.590455497,19.00774987,1417.938,1843.3194,1.3,55.65007113
M,1,15,53.78594898,1.59543106,21.13064483,1498.583,2247.8745,1.5,55.99880588
M,1,15,48.05162659,1.606606547,18.61611396,1425.611,2423.5387,1.7,56.78606113
M,1,15,54.21284195,1.598585744,21.214378,1506.009,2861.4171,1.9,56.22048038
F,0,15,53.14342068,1.6081729,20.5486846,1368.066,2599.3254,1.9,56.89684168
F,0,15,51.74682236,1.593338628,20.38297237,1352.137,2569.0603,1.9,55.85201564
M,1,15,52.86049159,1.611835082,20.34651298,1494.106,2838.8014,1.9,57.15627129
F,0,15,51.77710933,1.61488969,19.85418558,1356.091,2034.1365,1.5,57.37311164
F,0,15,48.45563841,1.617276961,18.52573811,1324.611,1986.9165,1.5,57.54286491
F,0,15,51.64752961,1.617313438,19.74518301,1355.26,1761.838,1.3,57.54546065
F,0,15,51.08791667,1.60673877,19.78917305,1348.09,2022.135,1.5,56.79540845
M,1,15,48.7088432,1.591476956,19.23123195,1427.05,2425.985,1.7,55.72157583
F,0,15,52.28991629,1.593630635,20.58934861,1357.4,1764.62,1.3,55.87248922
F,0,15,52.34016452,1.606652608,20.27641246,1360.097,1632.1164,1.2,56.78931726
M,1,15,47.85153742,1.590492633,18.91614228,1414.812,2405.1804,1.7,55.65266994
F,0,15,50.87815875,1.616782995,19.46381286,1347.783,2021.6745,1.5,57.50771956
M,1,15,50.3454099,1.625506691,19.05383317,1466.485,1759.782,1.2,58.12998405
M,1,15,53.42849656,1.622123772,20.30509267,1507.032,1808.4384,1.2,57.8882817
F,0,15,47.83009589,1.591231259,18.89011702,1314.178,1577.0136,1.2,55.70437223
F,0,15,51.23587419,1.600139108,20.01053368,1348.388,2561.9372,1.9,56.32979363
M,1,15,48.58819235,1.610374189,18.73601131,1434.845,2152.2675,1.5,57.05271063
M,1,15,51.21359181,1.590657673,20.24099167,1460.955,1753.146,1.2,55.66422032
M,1,15,53.70873703,1.613499319,20.63038663,1506.559,2862.4621,1.9,57.27436115
F,0,15,48.86763907,1.624633235,18.51444471,1329.817,1994.7255,1.5,58.06752926
F,0,15,54.06911037,1.602279701,21.06068839,1375.951,1788.7363,1.3,56.48060529
F,0,15,51.2481256,1.58825036,20.31608685,1346.485,1615.782,1.2,55.49586253
M,1,15,52.07898422,1.58980448,20.60511637,1472.384,2208.576,1.5,55.60452226
F,0,15,54.01135105,1.601608593,21.05582489,1375.282,1787.8666,1.3,56.43330187
F,0,15,48.67435494,1.601486971,18.9781286,1324.027,1588.8324,1.2,56.4247314
M,1,15,53.96328196,1.622523679,20.49822557,1514.559,1817.4708,1.2,57.91682796
M,1,15,48.47757878,1.598214536,18.97888822,1427.25,2426.325,1.7,56.19437347
F,0,15,51.84017656,1.609567013,20.01005794,1355.792,2576.0048,1.9,56.99553133
M,1,15,51.87328518,1.589293626,20.5369275,1469.311,2203.9665,1.5,55.56879305
F,0,15,52.9770456,1.616650188,20.27008738,1367.91,2599.029,1.9,57.49827227
F,0,15,54.2878072,1.587667764,21.53689279,1375.566,2613.5754,1.9,55.45515643
F,0,15,52.79163919,1.615514619,20.22755368,1365.937,1639.1244,1.2,57.41752465
M,1,15,52.57564049,1.594989663,20.66659014,1481.781,2222.6715,1.5,55.96782455
F,0,15,51.7023048,1.600604964,20.18094899,1352.945,1623.534,1.2,56.36259752
M,1,15,47.88733702,1.623603778,18.16605316,1431.858,1861.4154,1.3,57.99396301
F,0,15,48.296075,1.621617049,18.36602764,1323.817,1720.9621,1.3,57.85212078
M,1,15,47.81444545,1.612237557,18.39505351,1425.177,1852.7301,1.3,57.18481868
M,1,15,50.94578989,1.622542643,19.35156357,1473.229,2209.8435,1.5,57.91818182
F,0,15,52.39652285,1.599742194,20.47398911,1359.463,2039.1945,1.5,56.30185192
M,1,15,50.40396281,1.615221487,19.31970611,1462.145,2193.2175,1.5,57.39668995
M,1,15,51.77226862,1.623968816,19.63097295,1485.264,2822.0016,1.9,58.02004374
F,0,15,52.34619615,1.618309266,19.98766614,1362.136,2588.0584,1.9,57.61634737
M,1,15,52.19302073,1.620531153,19.87456647,1489.31,1787.172,1.2,57.77466679
F,0,15,51.54229472,1.591895731,20.3392303,1349.928,2564.8632,1.9,55.7509044
F,0,15,49.56444171,1.609201959,19.14031644,1333.883,1600.6596,1.2,56.96968079
F,0,15,48.69729706,1.600198475,19.01766321,1324.028,1986.042,1.5,56.33397351
F,0,15,52.31787736,1.601804912,20.39064076,1359.058,1766.7754,1.3,56.44713747
F,0,15,50.69527701,1.617381754,19.37949347,1346.13,1615.356,1.2,57.55032224
M,1,15,53.86850008,1.61773475,20.58354885,1510.866,2870.6454,1.9,57.57544587
M,1,15,53.98614657,1.608727337,20.86015089,1507.974,2563.5558,1.7,56.93608019
F,0,15,52.72962317,1.621579947,20.05293461,1366.373,1639.6476,1.2,57.84947354
M,1,15,50.25591903,1.61945058,19.16248467,1462.231,2193.3465,1.5,57.69764398
F,0,15,48.47778528,1.593474289,19.09205382,1320.777,1584.9324,1.2,55.86152681
F,0,15,50.00719446,1.597880663,19.5859124,1336.209,1603.4508,1.2,56.17089749
M,1,15,49.52212547,1.589580699,19.5990091,1437.243,2443.3131,1.7,55.58886957
M,1,15,53.6953456,1.608296203,20.75891109,1503.774,2857.1706,1.9,56.90556688
F,0,15,50.78957762,1.60236509,19.78115527,1344.482,1613.3784,1.2,56.4866254
M,1,15,47.64522611,1.605577772,18.48232906,1419.528,1703.4336,1.2,56.7133596
M,1,15,53.20845845,1.598560159,20.8220127,1492.236,1790.6832,1.2,56.2186808
M,1,15,53.17939225,1.618927363,20.29030814,1502.021,2553.4357,1.7,57.66036775
F,0,15,51.90775885,1.624563107,19.66795046,1358.99,2038.485,1.5,58.06251635
F,0,15,51.65694108,1.595151996,20.30133239,1351.582,1621.8984,1.2,55.97921759
M,1,15,53.98432662,1.624770605,20.44954181,1515.971,2577.1507,1.7,58.07734942
M,1,15,50.97455064,1.616279509,19.51283949,1470.491,2793.9329,1.9,57.47190793
M,1,15,53.74653336,1.61684289,20.55960731,1508.749,2564.8733,1.7,57.51198048
M,1,15,49.04496587,1.595038326,19.27756565,1433.435,2150.1525,1.5,55.97123975
F,0,15,48.69999113,1.619858675,18.55985719,1327.396,1991.094,1.5,57.72672679
M,1,15,51.30501619,1.617348505,19.61338737,1475.553,2213.3295,1.5,57.54795611
F,0,15,52.3833889,1.607602027,20.26919502,1360.673,1768.8749,1.3,56.8564541
M,1,15,48.64823505,1.615991154,18.62898232,1438.476,2445.4092,1.7,57.45140302
M,1,15,51.06614421,1.611009414,19.67600438,1469.111,1762.9332,1.2,57.0977293
M,1,15,53.95587226,1.592272053,21.28159492,1499.331,1799.1972,1.2,55.7772664
F,0,15,51.73885217,1.598198879,20.256068,1352.887,2570.4853,1.9,56.19327245
M,1,15,49.19378247,1.622281789,18.69207997,1449.096,2173.644,1.5,57.89956046
M,1,15,49.21167218,1.618347042,18.78991458,1447.373,2171.0595,1.5,57.61903726
M,1,15,52.5964231,1.600035581,20.54456403,1484.589,1781.5068,1.2,56.32250493
F,0,15,49.27825196,1.595873347,19.3489967,1328.87,1594.644,1.2,56.02985827
F,0,15,48.5210689,1.618747124,18.51707306,1325.489,1988.2335,1.5,57.64752953
M,1,15,53.11326297,1.621783474,20.19376237,1502.543,1953.3059,1.3,57.863996
F,0,15,52.72945524,1.61867307,20.12495888,1365.877,1639.0524,1.2,57.64225517
M,1,15,48.58893638,1.592624967,19.15624369,1425.981,2424.1677,1.7,55.80199428
F,0,15,52.96678061,1.595123534,20.81684611,1364.152,2591.8888,1.9,55.97721995
F,0,15,52.11021361,1.592599349,20.54517221,1355.5,1626.6,1.2,55.8001991
M,1,15,51.2332643,1.589629965,20.2749572,1460.711,2775.3509,1.9,55.59231536
F,0,15,49.46578848,1.601687051,19.28189026,1331.658,1997.487,1.5,56.43883101
M,1,15,49.51076435,1.614055559,19.00477233,1449.325,2753.7175,1.9,57.31385765
F,0,15,49.24869438,1.590178735,19.47613778,1327.618,1991.427,1.5,55.630705
F,0,15,52.07396407,1.596403783,20.4331415,1355.799,2033.6985,1.5,56.06711084
M,1,15,50.2667634,1.615022427,19.27186779,1460.166,2190.249,1.5,57.38254367
F,0,15,49.19873655,1.591247868,19.43024516,1327.32,1990.98,1.5,55.7055351
F,0,15,47.94482039,1.625184863,18.15248803,1321.052,1585.2624,1.2,58.10696846
M,1,15,49.72692641,1.620435835,18.93773081,1455.477,2183.2155,1.5,57.7678705
F,0,15,52.82855342,1.592483695,20.83141302,1362.376,2588.5144,1.9,55.79209501
M,1,15,50.52846609,1.590140802,19.98319616,1451.31,2757.489,1.9,55.62805094
M,1,15,52.59652937,1.619446113,20.05506551,1494.296,2839.1624,1.9,57.69732568
M,1,15,52.60921493,1.612349287,20.23688021,1490.921,2236.3815,1.5,57.19274491
F,0,15,51.77157039,1.588534216,20.51625986,1351.558,2027.337,1.5,55.51570102
M,1,15,51.10156931,1.624839674,19.3558928,1476.511,2214.7665,1.5,58.08228726
F,0,15,51.06369555,1.602825513,19.87649247,1347.192,2559.6648,1.9,56.51909175
M,1,15,51.3154179,1.62106091,19.52761495,1477.552,2807.3488,1.9,57.81244643
F,0,15,51.73995829,1.60704822,20.03402714,1354.402,1760.7226,1.3,56.81728759
M,1,15,54.03951973,1.597049808,21.18724842,1502.866,2554.8722,1.7,56.11249796
F,0,15,52.64610445,1.598225636,20.61057253,1361.601,1770.0813,1.3,56.19515404
F,0,15,51.8783079,1.59307731,20.44146879,1353.355,1624.026,1.2,55.83369694
M,1,15,51.56209937,1.594994328,20.26806579,1467.898,2201.847,1.5,55.96815194
M,1,15,54.33396924,1.592904713,21.41370612,1504.828,1805.7936,1.2,55.82159934
F,0,15,54.30717687,1.601110168,21.18433305,1378.038,1791.4494,1.3,56.39818294
F,0,15,54.1512267,1.588947686,21.4481136,1374.473,2611.4987,1.9,55.54460447
M,1,15,51.78892256,1.624323547,19.62871166,1485.67,2228.505,1.5,58.04539368
M,1,15,53.56883316,1.60792367,20.71959824,1501.855,2553.1535,1.7,56.87920763
M,1,15,51.81236807,1.608452009,20.02706129,1478.055,1773.666,1.2,56.91659304
F,0,15,48.56933259,1.589770408,19.21734197,1321.027,2245.7459,1.7,55.6021389
M,1,15,49.0451208,1.595538809,19.26553458,1433.688,2437.2696,1.7,56.00637
M,1,15,50.42736597,1.622583294,19.15368246,1466.147,2785.6793,1.9,57.92108401
F,0,15,54.12299298,1.595399338,21.26390337,1375.299,1787.8887,1.3,55.99657905
M,1,15,54.00713794,1.608555885,20.87271076,1508.176,1960.6288,1.3,56.92394477
M,1,15,47.74630174,1.601076197,18.62583435,1418.662,1844.2606,1.3,56.39578975
F,0,15,52.47954396,1.589324364,20.77614514,1358.489,1766.0357,1.3,55.57094255
F,0,15,48.26070782,1.616833824,18.46132701,1322.665,2513.0635,1.9,57.51133552
M,1,15,53.4447192,1.62099881,20.33945948,1506.692,1958.6996,1.3,57.80801712
F,0,15,51.99301735,1.619465188,19.82447925,1358.942,1630.7304,1.2,57.69868489
F,0,15,51.5930715,1.596330251,20.24631065,1351.17,1621.404,1.2,56.06194595
F,0,15,54.28184188,1.614692264,20.81972778,1380.103,1794.1339,1.3,57.35908436
F,0,15,52.48922262,1.592364215,20.70071386,1359.098,2038.647,1.5,55.78372345
M,1,15,53.16172757,1.615853875,20.36080373,1500.243,2550.4131,1.7,57.4416424
M,1,15,51.05463984,1.625102559,19.33186121,1476,2214,1.5,58.1010832
F,0,15,54.2102634,1.608981375,20.94013532,1378.445,2619.0455,1.9,56.95406343
F,0,15,54.34593795,1.599674577,21.2375201,1378.166,1791.6158,1.3,56.29709255
F,0,15,48.48443736,1.590748213,19.16017504,1320.378,2244.6426,1.7,55.6705573
F,0,15,54.359336,1.590096881,21.49943129,1376.666,2615.6654,1.9,55.624978
F,0,15,48.42732106,1.605338154,18.79132439,1322.31,1983.465,1.5,56.69643295
M,1,15,52.9009811,1.619684867,20.16520668,1498.586,2247.879,1.5,57.7143395
F,0,15,50.17994103,1.625514417,18.99102893,1342.565,2013.8475,1.5,58.13053664
M,1,15,50.9214862,1.619497746,19.41513321,1471.373,2207.0595,1.5,57.70100488
M,1,15,48.2816158,1.623115874,18.32663564,1437.016,2442.9272,1.7,57.95911309
F,0,15,53.1653986,1.607332507,20.57868495,1368.134,2599.4546,1.9,56.83739134
F,0,15,53.44926535,1.597794317,20.93630306,1369.238,1643.0856,1.2,56.16482695
F,0,15,48.5456895,1.605830546,18.8257048,1323.53,1588.236,1.2,56.73121833
M,1,15,53.07896436,1.625571531,20.0867776,1503.968,2556.7456,1.7,58.13462165
M,1,15,51.49798455,1.594028176,20.26740962,1466.536,2199.804,1.5,55.90036817
F,0,15,52.23684105,1.593993023,20.55909879,1356.952,2578.2088,1.9,55.89790266
M,1,15,49.26062752,1.589317231,19.50198221,1433.529,2436.9993,1.7,55.57044374
F,0,15,51.54623837,1.608888936,19.91337387,1352.855,2029.2825,1.5,56.94751938
F,0,15,51.36628052,1.618917657,19.59876021,1352.832,1623.3984,1.2,57.65967636
M,1,15,51.09587563,1.596667972,20.04271812,1462.347,2193.5205,1.5,56.08566948
F,0,15,52.37785288,1.597785859,20.51684348,1358.951,2038.4265,1.5,56.16423233
M,1,15,53.81376406,1.597140453,21.09634167,1499.819,2249.7285,1.5,56.11886779
M,1,15,52.58730833,1.620548529,20.02427774,1494.72,2839.968,1.9,57.77590577
M,1,15,47.71224526,1.622186433,18.13127414,1428.751,1714.5012,1.2,57.89275412
F,0,15,52.97017654,1.602288708,20.63240605,1365.403,1775.0239,1.3,56.48124028
M,1,15,50.59268809,1.60551302,19.6272788,1459.876,2773.7644,1.9,56.70878526
M,1,15,51.49690669,1.588364384,20.41177921,1463.69,1756.428,1.2,55.50383116
M,1,15,51.91289312,1.603914739,20.1796057,1477.164,1772.5968,1.2,56.59593478
M,1,15,49.49391968,1.612669469,19.03097861,1448.401,2751.9619,1.9,57.21546196
F,0,15,48.86273377,1.621120684,18.59289716,1329.173,1595.0076,1.2,57.81670999
F,0,15,51.18491956,1.624209327,19.40251488,1351.991,1622.3892,1.2,58.03723063
F,0,15,52.09512104,1.595090804,20.47510931,1355.779,2033.6685,1.5,55.97492281
M,1,15,48.44197773,1.615847737,18.55329273,1435.579,2440.4843,1.7,57.441206
M,1,15,52.69298661,1.604617539,20.46490557,1488.203,2827.5857,1.9,56.64554382
M,1,15,53.95491496,1.620153042,20.55506864,1513.259,2875.1921,1.9,57.74770935
